,date,price_usd
813,2022-03-25,116.2
814,2022-03-26,116.2
815,2022-03-27,116.2
816,2022-03-28,107.55
817,2022-03-29,104.25
818,2022-03-30,107.81
819,2022-03-31,100.53
820,2022-04-01,99.32
821,2022-04-02,99.32
822,2022-04-03,99.32
823,2022-04-04,103.29
824,2022-04-05,101.98
825,2022-04-06,96.39
826,2022-04-07,96.05
827,2022-04-08,98.35
828,2022-04-09,98.35
829,2022-04-10,98.35
830,2022-04-11,94.22
831,2022-04-12,100.52
832,2022-04-13,104.26
833,2022-04-14,106.84
834,2022-04-15,106.84
835,2022-04-16,106.84
836,2022-04-17,106.84
837,2022-04-18,108.24
838,2022-04-19,102.54
839,2022-04-20,102.56
840,2022-04-21,103.89
841,2022-04-22,102.86
842,2022-04-23,102.86
843,2022-04-24,102.86
844,2022-04-25,99.6
845,2022-04-26,102.62
846,2022-04-27,101.96
847,2022-04-28,105.47
848,2022-04-29,104.59
849,2022-04-30,104.59
850,2022-05-01,104.59
851,2022-05-02,105.18
852,2022-05-03,102.53
853,2022-05-04,107.84
854,2022-05-05,108.17
855,2022-05-06,109.72
856,2022-05-07,109.72
857,2022-05-08,109.72
858,2022-05-09,103.08
859,2022-05-10,99.74
860,2022-05-11,105.5
861,2022-05-12,106.15
862,2022-05-13,110.52
863,2022-05-14,110.52
864,2022-05-15,110.52
865,2022-05-16,114.07
866,2022-05-17,112.31
867,2022-05-18,109.67
868,2022-05-19,112.21
869,2022-05-20,112.63
870,2022-05-21,112.63
871,2022-05-22,112.63
872,2022-05-23,110.32
873,2022-05-24,112.55
874,2022-05-25,112.88
875,2022-05-26,116.19
876,2022-05-27,114.96
877,2022-05-28,114.96
878,2022-05-29,114.96
879,2022-05-30,114.96
880,2022-05-31,114.38
881,2022-06-01,115.26
882,2022-06-02,116.88
883,2022-06-03,118.97
884,2022-06-04,118.97
885,2022-06-05,118.97
886,2022-06-06,118.41
887,2022-06-07,119.55
888,2022-06-08,121.94
889,2022-06-09,121.52
890,2022-06-10,120.73
891,2022-06-11,120.73
892,2022-06-12,120.73
893,2022-06-13,120.92
894,2022-06-14,118.92
895,2022-06-15,115.32
896,2022-06-16,117.56
897,2022-06-17,109.56
898,2022-06-18,109.56
899,2022-06-19,109.56
900,2022-06-20,109.56
901,2022-06-21,110.49
