,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
1028,Mali,MLI,2006,74.0,26.0,False,True,True
1029,Mali,MLI,2010,69.0,31.0,False,True,True
1030,Mali,MLI,2011,69.0,31.0,False,True,True
1031,Mali,MLI,2015,67.0,33.0,False,True,True
1032,Mali,MLI,2018,65.0,35.0,False,True,True
1035,Malta,MLT,1995,12.0,88.0,False,False,False
1036,Malta,MLT,2005,8.0,92.0,False,False,False
1037,Malta,MLT,2011,7.0,93.0,False,False,False
1038,Marshall Islands,MHL,2011,2.0,98.0,False,False,False
1041,Mauritania,MRT,2000,49.0,51.0,False,False,False
1042,Mauritania,MRT,2013,38.0,62.0,False,False,False
1043,Mauritania,MRT,2015,34.887978,65.11202,False,False,False
1044,Mauritania,MRT,2020,40.47034,59.52966,False,False,False
1046,Mauritius,MUS,1990,20.0,80.0,False,False,False
1047,Mauritius,MUS,2000,16.0,84.0,False,False,False
1048,Mauritius,MUS,2011,11.0,89.0,False,False,False
1049,Mauritius,MUS,2012,8.0,92.0,False,False,False
1050,Mauritius,MUS,2013,9.0,91.0,False,False,False
1051,Mauritius,MUS,2014,8.0,92.0,False,False,False
1052,Mauritius,MUS,2015,7.0,93.0,False,False,False
1053,Mauritius,MUS,2016,7.0,93.0,False,False,False
1061,Mexico,MEX,1990,12.0,88.0,False,False,False
1062,Mexico,MEX,2000,9.0,91.0,False,False,False
1063,Mexico,MEX,2002,10.0,90.0,False,False,False
1064,Mexico,MEX,2004,9.0,91.0,False,False,False
1065,Mexico,MEX,2005,8.0,92.0,False,False,False
1066,Mexico,MEX,2006,8.0,92.0,False,False,False
1067,Mexico,MEX,2007,7.0,93.0,False,False,False
1068,Mexico,MEX,2008,7.0,93.0,False,False,False
1069,Mexico,MEX,2009,7.0,93.0,False,False,False
1070,Mexico,MEX,2010,7.0,93.0,False,False,False
1071,Mexico,MEX,2011,6.0,94.0,False,False,False
1072,Mexico,MEX,2012,6.0,94.0,False,False,False
1073,Mexico,MEX,2013,6.0,94.0,False,False,False
1074,Mexico,MEX,2014,5.0,95.0,False,False,False
1075,Mexico,MEX,2015,6.0,94.0,False,False,False
